,sample
168896,0.0
168897,0.0
168898,0.0
168899,0.0
168900,0.0
168901,0.0
168902,0.0
168903,0.0
168904,0.0
168905,0.0
168906,0.0
168907,0.0
168908,0.0
168909,0.0
168910,0.0
168911,0.0
168912,0.0
168913,0.0
168914,0.0
168915,0.0
168916,0.000244140625
168917,0.000244140625
168918,0.00048828125
168919,0.002197265625
168920,0.0048828125
168921,0.00830078125
168922,0.011962890625
168923,0.021728515625
168924,0.03564453125
168925,0.048095703125
168926,0.06103515625
168927,0.086181640625
168928,0.10791015625
168929,0.1328125
168930,0.138916015625
168931,0.156494140625
168932,0.146728515625
168933,0.1328125
168934,0.1103515625
168935,0.09033203125
168936,0.06103515625
168937,0.045166015625
168938,0.041259765625
168939,0.041259765625
168940,0.033447265625
168941,0.02001953125
168942,0.00244140625
168943,0.01416015625
168944,0.108642578125
168945,0.318603515625
168946,0.59765625
168947,0.803955078125
168948,0.79150390625
168949,0.4814453125
168950,0.134033203125
168951,0.00244140625
168952,0.205322265625
168953,0.5361328125
168954,0.81298828125
168955,0.993408203125
168956,1.30078125
168957,1.588134765625
168958,1.45361328125
168959,1.09619140625
168960,1.381103515625
168961,2.744140625
168962,3.755126953125
168963,3.0048828125
168964,1.1376953125
168965,0.279541015625
168966,1.5009765625
168967,4.493408203125
168968,8.7626953125
168969,12.534423828125
168970,12.62890625
168971,8.465087890625
168972,3.533447265625
168973,1.14892578125
168974,1.0283203125
168975,1.12548828125
168976,0.548828125
168977,0.037353515625
168978,0.92041015625
168979,3.30712890625
168980,4.855712890625
168981,3.501220703125
168982,1.43017578125
168983,2.822265625
168984,5.758056640625
168985,4.33837890625
168986,2.25830078125
168987,6.126953125
168988,8.59033203125
168989,3.28515625
168990,0.92822265625
168991,3.72314453125
168992,4.635009765625
168993,3.5048828125
168994,2.863525390625
168995,15.39306640625
168996,16.7080078125
168997,0.513916015625
168998,10.298095703125
168999,16.439697265625
169000,7.551025390625
169001,2.300048828125
169002,4.205322265625
169003,7.86572265625
169004,0.17822265625
169005,6.179931640625
169006,8.361572265625
169007,6.00390625
169008,3.5048828125
169009,1.747314453125
169010,3.773681640625
169011,2.774658203125
169012,3.30712890625
169013,5.933837890625
169014,4.268798828125
169015,2.560791015625
169016,15.115478515625
169017,8.564697265625
169018,1.927978515625
169019,3.014892578125
169020,1.764892578125
169021,23.3095703125
169022,45.923095703125
169023,4.5166015625
169024,9.420166015625
169025,1.70166015625
169026,8.3916015625
169027,7.181640625
169028,10.59033203125
169029,14.215087890625
169030,5.001953125
169031,2.76416015625
169032,9.503173828125
169033,14.66259765625
169034,17.884765625
169035,1.128173828125
169036,1.334228515625
169037,1.92578125
169038,13.3134765625
169039,31.673828125
169040,33.337890625
169041,49.149658203125
169042,1.0244140625
169043,2.197265625
169044,2.38720703125
169045,24.615478515625
169046,41.829345703125
169047,76.9267578125
169048,32.431640625
169049,49.267578125
169050,6.256103515625
169051,7.1376953125
169052,26.427001953125
169053,9.114501953125
169054,0.71728515625
169055,16.10986328125
169056,44.82861328125
169057,4.108642578125
169058,6.5751953125
169059,3.106689453125
169060,5.499267578125
169061,6.760009765625
169062,52.140869140625
169063,1.69140625
169064,25.5078125
169065,15.206298828125
169066,14.142822265625
169067,42.583251953125
169068,6.548095703125
169069,13.966064453125
169070,1.2939453125
169071,5.86572265625
169072,5.335205078125
169073,20.97119140625
169074,10.217041015625
169075,15.86376953125
169076,14.62158203125
169077,27.87353515625
169078,43.19189453125
169079,92.23876953125
169080,6.495361328125
169081,5.335205078125
169082,0.426025390625
169083,12.937744140625
169084,20.049072265625
169085,145.0556640625
169086,41.064453125
169087,11.807861328125
169088,1.27392578125
169089,46.158447265625
169090,15.5634765625
169091,16.33056640625
169092,24.288330078125
169093,32.20703125
169094,16.857666015625
